IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.16.8.147,443,443,TRUE,HK CM-104.16.8.147,Asia,Hong Kong,100,8
104.16.1.163,443,443,TRUE,HK CM-104.16.1.163,Asia,Hong Kong,100,8
104.16.10.25,443,443,TRUE,HK CM-104.16.10.25,Asia,Hong Kong,100,8
104.16.130.2,443,443,TRUE,HK CM-104.16.130.2,Asia,Hong Kong,100,8
104.16.134.66,443,443,TRUE,HK CM-104.16.134.66,Asia,Hong Kong,100,8
104.16.143.177,443,443,TRUE,HK CM-104.16.143.177,Asia,Hong Kong,100,8
104.16.146.253,443,443,TRUE,HK CM-104.16.146.253,Asia,Hong Kong,100,8
104.16.159.149,443,443,TRUE,HK CM-104.16.159.149,Asia,Hong Kong,100,8
104.16.154.251,443,443,TRUE,HK CM-104.16.154.251,Asia,Hong Kong,100,8
104.16.155.199,443,443,TRUE,HK CM-104.16.155.199,Asia,Hong Kong,100,8
