IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.20.194.122,443,443,TRUE,FRA 104.20.194.122,Europe,Frankfurt,151,8.08
104.20.234.103,443,443,TRUE,FRA 104.20.234.103,Europe,Frankfurt,151,8.08
104.22.27.110,443,443,TRUE,FRA 104.22.27.110,Europe,Frankfurt,151,8.08
104.22.38.50,443,443,TRUE,FRA 104.22.38.50,Europe,Frankfurt,151,8.08
104.22.40.205,443,443,TRUE,FRA 104.22.40.205,Europe,Frankfurt,151,8.08
104.24.133.17,443,443,TRUE,FRA 104.24.133.17,Europe,Frankfurt,151,8.08
104.24.207.123,443,443,TRUE,FRA 104.24.207.123,Europe,Frankfurt,151,8.08
104.24.234.156,443,443,TRUE,FRA 104.24.234.156,Europe,Frankfurt,151,8.08
104.24.246.212,443,443,TRUE,FRA 104.24.246.212,Europe,Frankfurt,151,8.08
104.24.57.168,443,443,TRUE,FRA 104.24.57.168,Europe,Frankfurt,151,8.08
104.24.61.166,443,443,TRUE,FRA 104.24.61.166,Europe,Frankfurt,151,8.08
104.25.115.144,443,443,TRUE,FRA 104.25.115.144,Europe,Frankfurt,151,8.08
104.25.145.252,443,443,TRUE,FRA 104.25.145.252,Europe,Frankfurt,151,8.08
104.25.184.163,443,443,TRUE,FRA 104.25.184.163,Europe,Frankfurt,151,8.08
104.25.214.107,443,443,TRUE,FRA 104.25.214.107,Europe,Frankfurt,151,8.08
104.25.34.92,443,443,TRUE,FRA 104.25.34.92,Europe,Frankfurt,151,8.08
104.25.67.97,443,443,TRUE,FRA 104.25.67.97,Europe,Frankfurt,151,8.08
104.25.74.216,443,443,TRUE,FRA 104.25.74.216,Europe,Frankfurt,151,8.08
104.27.122.30,443,443,TRUE,FRA 104.27.122.30,Europe,Frankfurt,151,8.08
104.27.41.93,443,443,TRUE,FRA 104.27.41.93,Europe,Frankfurt,151,8.08
104.27.48.74,443,443,TRUE,FRA 104.27.48.74,Europe,Frankfurt,151,8.08
104.27.53.239,443,443,TRUE,FRA 104.27.53.239,Europe,Frankfurt,150,8.08
162.159.34.36,443,443,TRUE,FRA 162.159.34.36,Europe,Frankfurt,151,8.08
