IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.16.172.16,443,443,TRUE,US SJC 104.16.172.16,North America,San Jose,158,8.08
104.16.236.186,443,443,TRUE,US SJC 104.16.236.186,North America,San Jose,158,8.08
104.16.247.191,443,443,TRUE,US SJC 104.16.247.191,North America,San Jose,158,8.08
104.16.80.43,443,443,TRUE,US SJC 104.16.80.43,North America,San Jose,158,8.08
104.17.191.17,443,443,TRUE,US SJC 104.17.191.17,North America,San Jose,158,8.08
104.17.41.148,443,443,TRUE,US SJC 104.17.41.148,North America,San Jose,158,8.08
104.18.10.58,443,443,TRUE,US SJC 104.18.10.58,North America,San Jose,158,8.08
104.18.50.30,443,443,TRUE,US SJC 104.18.50.30,North America,San Jose,158,8.08
104.18.55.107,443,443,TRUE,US SJC 104.18.55.107,North America,San Jose,158,8.08
104.18.71.202,443,443,TRUE,US SJC 104.18.71.202,North America,San Jose,158,8.08
104.19.118.12,443,443,TRUE,US SJC 104.19.118.12,North America,San Jose,158,8.08
104.19.205.205,443,443,TRUE,US SJC 104.19.205.205,North America,San Jose,158,8.08
104.19.32.13,443,443,TRUE,US SJC 104.19.32.13,North America,San Jose,158,8.08
104.19.4.93,443,443,TRUE,US SJC 104.19.4.93,North America,San Jose,158,8.08
162.159.237.163,443,443,TRUE,US SJC 162.159.237.163,North America,San Jose,158,8.08
162.159.60.91,443,443,TRUE,US SJC 162.159.60.91,North America,San Jose,158,8.08
185.146.173.61,443,443,TRUE,US SJC 185.146.173.61,North America,San Jose,158,8.08
66.235.200.30,443,443,TRUE,US SJC 66.235.200.30,North America,San Jose,158,8.08
