IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
172.64.80.232,443,443,TRUE,US SJC 172.64.80.232,North America,San Jose,100,8
172.64.81.185,443,443,TRUE,US SJC 172.64.81.185,North America,San Jose,100,8
172.64.82.153,443,443,TRUE,US SJC 172.64.82.153,North America,San Jose,100,8
172.64.83.247,443,443,TRUE,US SJC 172.64.83.247,North America,San Jose,100,8
172.64.84.187,443,443,TRUE,US SJC 172.64.84.187,North America,San Jose,100,8
172.64.85.3,443,443,TRUE,US SJC 172.64.85.3,North America,San Jose,100,8
172.64.86.118,443,443,TRUE,US SJC 172.64.86.118,North America,San Jose,100,8
172.64.87.47,443,443,TRUE,US SJC 172.64.87.47,North America,San Jose,100,8
172.64.88.123,443,443,TRUE,US SJC 172.64.88.123,North America,San Jose,100,8
172.64.89.201,443,443,TRUE,US SJC 172.64.89.201,North America,San Jose,100,8
172.64.90.104,443,443,TRUE,US SJC 172.64.90.104,North America,San Jose,100,8
172.64.91.37,443,443,TRUE,US SJC 172.64.91.37,North America,San Jose,100,8
172.64.92.191,443,443,TRUE,US SJC 172.64.92.191,North America,San Jose,100,8
172.64.93.25,443,443,TRUE,US SJC 172.64.93.25,North America,San Jose,100,8
172.64.94.146,443,443,TRUE,US SJC 172.64.94.146,North America,San Jose,100,8
172.64.95.75,443,443,TRUE,US SJC 172.64.95.75,North America,San Jose,100,8
185.146.173.61,443,443,TRUE,US SJC 185.146.173.61,North America,San Jose,100,8
23.227.60.78,443,443,TRUE,US SJC 23.227.60.78,North America,San Jose,100,8
66.235.200.112,443,443,TRUE,US SJC 66.235.200.112,North America,San Jose,100,8
66.235.200.30,443,443,TRUE,US SJC 66.235.200.30,North America,San Jose,100,8
